2025-12-10 23:09:06.526 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: Roses Are Red, Violets Are Blue
2025-12-10 23:09:06.527 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2025-12-10 23:09:10.025 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: Tis better to have loved and lost than never to have loved at all
2025-12-10 23:09:10.026 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.1, 'neu': 0.435, 'pos': 0.465, 'compound': 0.8555}
2025-12-10 23:16:17.085 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: Tell me, Mr Anderson, what good is a phone call if you're unable to speak?
2025-12-10 23:16:17.085 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}
2025-12-10 23:16:45.230 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: Never send a human to do a machine's job.
2025-12-10 23:16:45.230 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2025-12-10 23:19:47.341 | INFO     | backend.modules.db_tools:initialize_db:155 - La base de données SQLite existe.
2025-12-10 23:19:47.343 | INFO     | backend.modules.db_tools:initialize_db:160 - Les tables de la BDD ont été vérifiées/créées.
2025-12-10 23:19:47.790 | INFO     | backend.modules.db_tools:write_db:62 - Conversion de l'entrée: DataFrame -> List[dict].
2025-12-10 23:19:47.793 | SUCCESS  | backend.modules.db_tools:write_db:89 - Écriture de 1 citation(s) dans la BDD réussie.
2025-12-10 23:22:16.421 | INFO     | backend.modules.db_tools:initialize_db:155 - La base de données SQLite existe.
2025-12-10 23:22:16.423 | INFO     | backend.modules.db_tools:initialize_db:160 - Les tables de la BDD ont été vérifiées/créées.
2025-12-10 23:22:16.815 | INFO     | backend.modules.db_tools:write_db:62 - Conversion de l'entrée: DataFrame -> List[dict].
2025-12-10 23:22:16.820 | SUCCESS  | backend.modules.db_tools:write_db:89 - Écriture de 1 citation(s) dans la BDD réussie.
2025-12-10 23:24:33.670 | INFO     | backend.modules.db_tools:initialize_db:155 - La base de données SQLite existe.
2025-12-10 23:24:33.672 | INFO     | backend.modules.db_tools:initialize_db:160 - Les tables de la BDD ont été vérifiées/créées.
2025-12-10 23:24:33.690 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: hello world
2025-12-10 23:24:33.690 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2025-12-10 23:24:33.703 | INFO     | backend.modules.db_tools:write_db:62 - Conversion de l'entrée: DataFrame -> List[dict].
2025-12-10 23:24:33.707 | SUCCESS  | backend.modules.db_tools:write_db:89 - Écriture de 1 citation(s) dans la BDD réussie.
2025-12-10 23:26:56.310 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: congratulation
2025-12-10 23:26:56.310 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}
